1,０,0,Full-width characters to half-width ones
1,１,1,
1,２,2,
1,３,3,
1,４,4,
1,５,5,
1,６,6,
1,７,7,
1,８,8,
1,９,9,
1,Ａ,A,
1,Ｂ,B,
1,Ｃ,C,
1,Ｄ,D,
1,Ｅ,E,
1,Ｆ,F,
1,Ｇ,G,
1,Ｈ,H,
1,Ｉ,I,
1,Ｊ,J,
1,Ｋ,K,
1,Ｌ,L,
1,Ｍ,M,
1,Ｎ,N,
1,Ｏ,O,
1,Ｐ,P,
1,Ｑ,Q,
1,Ｒ,R,
1,Ｓ,S,
1,Ｔ,T,
1,Ｕ,U,
1,Ｖ,V,
1,Ｗ,W,
1,Ｘ,X,
1,Ｙ,Y,
1,Ｚ,Z,
1,ａ,a,
1,ｂ,b,
1,ｃ,c,
1,ｄ,d,
1,ｅ,e,
1,ｆ,f,
1,ｇ,g,
1,ｈ,h,
1,ｉ,i,
1,ｊ,j,
1,ｋ,k,
1,ｌ,l,
1,ｍ,m,
1,ｎ,n,
1,ｏ,o,
1,ｐ,p,
1,ｑ,q,
1,ｒ,r,
1,ｓ,s,
1,ｔ,t,
1,ｕ,u,
1,ｖ,v,
1,ｗ,w,
1,ｘ,x,
1,ｙ,y,
1,ｚ,z,
1,\?,？,Replace half-width characters to full-width ones
1,!,！,
1,~,～,
1,ｳﾞ,ヴ,
1,ｶﾞ,ガ,
1,ｷﾞ,ギ,
1,ｸﾞ,グ,
1,ｹﾞ,ゲ,
1,ｺﾞ,ゴ,
1,ｻﾞ,ザ,
1,ｼﾞ,ジ,
1,ｽﾞ,ズ,
1,ｾﾞ,ゼ,
1,ｿﾞ,ゾ,
1,ﾀﾞ,ダ,
1,ﾁﾞ,ヂ,
1,ﾂﾞ,ヅ,
1,ﾃﾞ,デ,
1,ﾄﾞ,ド,
1,ﾊﾞ,バ,
1,ﾋﾞ,ビ,
1,ﾌﾞ,ブ,
1,ﾍﾞ,ベ,
1,ﾎﾞ,ボ,
1,ﾊﾟ,パ,
1,ﾋﾟ,ピ,
1,ﾌﾟ,プ,
1,ﾍﾟ,ペ,
1,ﾎﾟ,ポ,
1,ｱ,ア,
1,ｲ,イ,
1,ｳ,ウ,
1,ｴ,エ,
1,ｵ,オ,
1,ｶ,カ,
1,ｷ,キ,
1,ｸ,ク,
1,ｹ,ケ,
1,ｺ,コ,
1,ｻ,サ,
1,ｼ,シ,
1,ｽ,ス,
1,ｾ,セ,
1,ｿ,ソ,
1,ﾀ,タ,
1,ﾁ,チ,
1,ﾂ,ツ,
1,ﾃ,テ,
1,ﾄ,ト,
1,ﾅ,ナ,
1,ﾆ,ニ,
1,ﾇ,ヌ,
1,ﾈ,ネ,
1,ﾉ,ノ,
1,ﾊ,ハ,
1,ﾋ,ヒ,
1,ﾌ,フ,
1,ﾍ,ヘ,
1,ﾎ,ホ,
1,ﾏ,マ,
1,ﾐ,ミ,
1,ﾑ,ム,
1,ﾒ,メ,
1,ﾓ,モ,
1,ﾔ,ヤ,
1,ﾕ,ユ,
1,ﾖ,ヨ,
1,ﾗ,ラ,
1,ﾘ,リ,
1,ﾙ,ル,
1,ﾚ,レ,
1,ﾛ,ロ,
1,ﾜ,ワ,
1,ｦ,ヲ,
1,ﾝ,ン,
1,ｯ,ッ,
1,ｧ,ァ,
1,ｨ,ィ,
1,ｩ,ゥ,
1,ｪ,ェ,
1,ｫ,ォ,
1,ｬ,ャ,
1,ｭ,ュ,
1,ｮ,ョ,
1,｢,「,
1,｣,」,
1,“,「,Quote marks
1,”,」,
1,\.\.\.,…,Three dots to ellipsis
1,[《》＜＞｟｠。➡],,Redundant punctuation marks
1,（.*?）,,Contents in parentheses
1,<.*?>,,
1,\(.*?\(.*?\)\),,
1,\(.*?\),,
1,\),,
1,\{.*?\},,
1,.*：,,Speakers that are unbracketed
1,-,\n,Dialogues
1,‎,,Unseeable character \u200E
1,&lrm;,,
1,&nbsp;,　,
1,\\N,　,
1,⸺,,
1,♬,,Music notes
1,♪,,
1,🗧,,
1,🔊,,
1,^～$,,Single-line wave lines
1,^\s+,,blank lines and leading spaces
1, ,　,Replace half-width spaces to full-width ones
1,　+,　,
1,^　+,,
1,　+$,,
1,…　,… ,Replace full-width spaces to half-width ones after specific punctuation marks
1,！？,？,
1,？！,？,
1,[⁉⁈],？,
1,？　,？,Remove spaces after spectific punctuation marks
1,！　,！,